Mall,Address,Location,Rating,Remarks,Cleanliness,Comfort,Privacy,Accessiblity,Amenities
313 Somerset,"313 Orchard Rd, Singapore 238895","Level 5, located near the female restrooms at Food Republic. More parenting rooms can also be found at Basement 3 and Level 1",5 stars,"There are also three private breastfeeding rooms within the 313@Somerset nursing room, each furnished with an armchair, a small coffee table and two electrical points. ",4,4,5,3,4
Claymore Connect,"442 Orchard Rd, Singapore 238879",Level 3,4 stars,A rather bare nursing room,4,3,3,3,2
Far East Plaza,"14 Scotts Rd, Singapore 228213",Level 4,3 stars,Recommended only for quick and emergency nappy changes.,3,2,2,2,2
Forum The Shopping Mall,"583 Orchard Rd, Singapore 238884","Level 1, near restrooms",5 stars,Clean and well-equipped with two lockable private rooms for breastfeeding mothers,4,4,5,4,5
ION Orchard Mall,"2 Orchard Turn, Singapore 238801","B1, near the female restrooms",5 stars,The only downside is the lack of electrical points in both rooms which will make expressing milk tough if your breast pump is not battery compatible and requires a power outlet.,5,5,5,3,4
Isetan Scotts (Shaw Centre),"1 Scotts Rd, Singapore 228208",Level 4,4.5 stars,There is a hot water dispenser and two high chairs for babies who have started on solids.,4,4,3,4,4
Mandarin Gallery,"333A Orchard Rd, Singapore 238897",Level 2 near the restroom,4 stars,The Mandarin Gallery nursing room is minimal yet functional.,4,2,4,3,2
Ngee Ann City,"391 Orchard Rd, Singapore 238873",Level B2 and B1,4 stars,"The Mother’s Room also contains a hot and cold water dispenser, a sink and two cushioned diaper changing stations, allowing multiple families to use the Mother’s Room simultaneously.",3,3,4,3,3
OG Orchard Point ,"160 Orchard Rd, Singapore 238842","Level 4, within Customer Service area",4 stars,"The OG Orchard Point Nursing Room is brightly lit and decently furnished with two padded diaper changing mats, a sink, a hot water dispenser and two large armchairs.",3,2,3,3,4
Orchard Central,"181 Orchard Rd, Singapore 238896","Level 4, near restrooms and Tanuki Raw",5 stars,"The Orchard Central nursing room is also lockable from the inside, offering a cosy and private place for parents to nurse and tend to their children.",4,4,5,4,3
Orchard Gateway,"277 Orchard Rd, Singapore 238858",B2 near LiHo,4.5 stars,"The nursing room at Orchard Gateway is extremely spacious and comes equipped with a sink, bench and diaper changing station.",4,5,3,4,2
Palais Renaissance,"390 Orchard Rd, Singapore 238871",Level 2 near the restrooms,3 stars,The Babies room at Palais Renaissance is small and furnished with the bare essentials,3,2,3,3,1
Paragon Mall,"290 Orchard Rd, Singapore 238859","Level 3 (near restrooms) and Level 5 (behind Lobby A, near restrooms) and inside the ladies’ restroom, next to L’Espace Beaute",5 stars,"The Paragon Parents Room is decently equipped with two padded diaper changing stations, a sink and a hot water dispenser. ",4,4,5,4,4
Scotts Square,"6 Scotts Rd, Singapore 228209","Level 2, 3",3.5 stars,"A no-frills nursing room, the nursing room at Scotts Square is equipped with the bare essentials",4,2,3,3,1
Robinsons (The Heeren),"260 Orchard Rd, Singapore 238855",Level 3 near the female restrooms,3 stars,The nursing room at Robinsons (The Heeren) is a room with a lockable sliding door. The room only has a padded diaper changing table.,3,1,4,2,1
Takashimaya,"391A Orchard Rd, Singapore 238873",Level 4,5 stars,"Tastefully decorated in shades of pastel blue and wallpaper with hot air balloons, the Takashimaya Nursing Room is extremely spacious and can easily accommodate a few families with strollers. It is divided into three areas: the waiting area, breastfeeding area and changing area.",4,4,5,5,5
Tanglin Mall,"19 Tanglin Rd, Singapore 247909",Level 3,4 stars,"It is well equipped with a sink, hot water dispenser and two cushioned diaper changing stations",4,2,4,3,3
TANGS,"310 Orchard Rd, Singapore 238864",Level 2 near the restrooms,5 stars,"Pristine, airy and artfully decorated with pictures of Paddington Bear, the nursing room contains two cushioned diaper changing stations with baby crib mobiles to keep your little one entertained and happy while you give him or her a quick diaper change.",4,4,5,4,4
The Centrepoint,"176 Orchard Rd, Singapore 238843","Level 4,5,6 in Metro",4 stars,The Centrepoint nursing room is quite small but equipped with the necessary facilities. ,4,2,4,3,3
Wisma Atria,"435 Orchard Rd, Singapore 238877",Inside the female toilet at Level 3,3.5 stars,"Suitable for quick, emergency diaper changes but if you’re looking for a good, clean and well-equipped nursing room, give this place a miss.",3,3,2,3,3
Bugis+,"201 Victoria Street, Singapore 188067",Level 2,3.5 stars,Preferable for quick diaper changes only.,3,2,2,3,3
Bugis Junction,"200 Victoria Street, Singapore, Singapore","Level 2, Level 3",4.5 stars,"Cheerily decorated with wallpaper of candies and various sweet treats, the space is also well-equipped with a bench, two padded diaper changing stations, a sink and an electrical point. ",4,4,4,4,3
Capitol Piazza,"13 Stamford Rd, Singapore 178905",B2,4 stars,"The nursing room in Capitol Piazza is clean, small and minimally furnished.",4,4,4,3,2
Funan,"109 North Bridge Road, Singapore 179097",Level 4,4.5 stars,"There are a few private breastfeeding rooms in the Funan Nursing Room, each furnished with an armchair, table and two electrical plugs per room.",3,4,4,4,4
National Gallery,"1 St Andrew’s Rd, Singapore 178957","B1, 2, 3, 4, 5",4.5 stars,"Located conveniently on many levels of the building, the nursing room at National Gallery is clean and brightly lit, albeit being a little small.",4,4,5,4,2
National Museum,"93 Stamford Rd, Singapore 178897","Basement, 1,2,3 near the restrooms",3.5 stars,The nursing room in National Museum is small and quite bare. Only recommended for emergency feeds and diaper changes.,3,3,3,2,2
Plaza Singapura,"68 Orchard Rd, Singapore 238839",Level 3 and 6 near the restrooms,4.5 stars,The nursing room at Plaza Singapura is huge and decently equipped with the necessary family-friendly facilities.,4,4,4,4,3
Raffles City,"252 North Bridge Rd, Singapore 179103",Level 3 near the restrooms,5 stars,"The Baby Room at Raffles City is clean, spacious and well-equipped. ",4,5,5,4,4
